title,year,primary_source,screening_decision,reason
Khronos,2024,https://www.roboticsproceedings.org/rss20/p081.pdf,retain,Closest dynamic metric-semantic baseline
OASIS-Map,2026,https://arxiv.org/abs/2607.14899,retain,Closest recent cross-visit association work
OVI-MAP,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Deng_OVI-MAP_Open-Vocabulary_Instance-Semantic_Mapping_CVPR_2026_paper.html,retain,Strong static open-vocabulary instance mapper
DualMap,2025,https://arxiv.org/abs/2506.01950,retain,Online changing-scene open-vocabulary mapper
Panoptic Multi-TSDFs,2022,https://arxiv.org/abs/2109.10165,retain,Object-level volumetric change representation
Fusion++,2018,https://arxiv.org/abs/1808.08378,retain,Existence probability and per-object TSDF
EM-Fusion,2019,https://openaccess.thecvf.com/content_ICCV_2019/html/Strecke_EM-Fusion_Dynamic_Object-Level_SLAM_With_Probabilistic_Data_Association_ICCV_2019_paper.html,retain,Probabilistic dynamic data association
ODAM,2021,https://openaccess.thecvf.com/content/ICCV2021/html/Li_ODAM_Object_Detection_Association_and_Mapping_Using_Posed_RGB_Video_ICCV_2021_paper.html,retain,Frame-to-map object association
Living Scenes,2024,https://openaccess.thecvf.com/content/CVPR2024/html/Zhu_Living_Scenes_Multi-object_Relocalization_and_Reconstruction_in_Changing_3D_Environments_CVPR_2024_paper.html,retain,Sparse revisit identity consistency
Consistent Instance Field,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Wu_Consistent_Instance_Field_for_Dynamic_Scene_Understanding_CVPR_2026_paper.html,retain,Visibility and identity separation
GaME,2026,https://openaccess.thecvf.com/content/CVPR2026/html/Yugay_Gaussian_Mapping_for_Evolving_Scenes_CVPR_2026_paper.html,retain,Stale observation management
MaskFusion,2018,https://arxiv.org/abs/1804.09194,retain,Object-aware tracking and reconstruction
Co-Fusion,2017,https://arxiv.org/abs/1706.06629,secondary,Short-term object reconstruction
ReFusion,2019,https://arxiv.org/abs/1905.02082,secondary,Dynamic rejection for static reconstruction
MID-Fusion,2018,https://arxiv.org/abs/1812.07976,secondary,Closed-set short-term dynamic SLAM
ConceptGraphs,2023,https://arxiv.org/abs/2309.16650,secondary,Static open-vocabulary graph accumulation
Hydra,2022,https://arxiv.org/abs/2201.13360,secondary,Scene graph architecture rather than change maintenance
DovSG,2024,https://arxiv.org/abs/2410.11989,secondary,Manipulation-oriented dynamic scene graph
