title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"Khronos: A Unified Approach for Spatio-Temporal Metric-Semantic SLAM in Dynamic Environments",2024,RSS,https://www.roboticsproceedings.org/rss20/p081.html,pure method,5,5,5,A,"Closest dynamic baseline and temporal factorization threat","Broad real and simulated evaluation"
"DynaMem: Online Dynamic Spatio-Semantic Memory for Open World Mobile Manipulation",2025,ICRA,https://arxiv.org/abs/2411.04999,pure method,4,4,4,Risk,"Direct online open-vocabulary current-memory overlap","Real robot plus offline benchmark"
"Where Did I Leave My Glasses? Open-Vocabulary Semantic Exploration in Real-World Semi-Static Environments",2026,IEEE RA-L,https://arxiv.org/abs/2509.19851,pure method,4,4,4,Risk,"Direct current-map and probabilistic stationarity overlap","Multiple real environments and sensitivity analysis"
"OASIS-Map: Object-Level Change Detection in Multi-Session Mapping using Semantic Correspondence Matching",2026,"arXiv, under review",https://arxiv.org/abs/2607.14899,pure method,5,3,3,Risk,"Dense correspondence identity and change threat","Strong mechanism but limited released evaluation"
"DualMap: Online Open-Vocabulary Semantic Mapping for Natural Language Navigation in Dynamic Changing Scenes",2025,IEEE RA-L,https://arxiv.org/abs/2506.01950,pure method,4,4,4,A,"Dynamic open-vocabulary online map baseline","Simulation and real navigation evidence"
"Dynamic Open-Vocabulary 3D Scene Graphs for Long-Term Language-Guided Mobile Manipulation",2025,IEEE RA-L,https://arxiv.org/abs/2410.11989,system/tool,3,4,3,B,"Local dynamic scene-graph update","Real-system evidence but different main task"
"OpenIN: Open-Vocabulary Instance-Oriented Navigation in Dynamic Domestic Environments",2025,IEEE RA-L,https://arxiv.org/abs/2501.04279,pure method,3,3,3,B,"Moved-instance relationship update","Navigation-oriented evidence"
"OVI-MAP: Open-Vocabulary Instance-Semantic Mapping",2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Deng_OVI-MAP_Open-Vocabulary_Instance-Semantic_Mapping_CVPR_2026_paper.html,pure method,4,5,5,A,"Strong static instance-semantic baseline","Comprehensive standard-benchmark evidence"
"Consistent Instance Field for Dynamic Scene Understanding",2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Wu_Consistent_Instance_Field_for_Dynamic_Scene_Understanding_CVPR_2026_paper.html,pure method,5,5,5,Risk,"Visibility and identity disentanglement threat","Strong but different neural-field setting"
"Gaussian Mapping for Evolving Scenes",2026,CVPR,https://openaccess.thecvf.com/content/CVPR2026/html/Yugay_Gaussian_Mapping_for_Evolving_Scenes_CVPR_2026_paper.html,pure method,4,5,5,A,"Stale-observation adaptation threat","Strong synthetic and real evaluation"
"Living Scenes: Multi-object Relocalization and Reconstruction in Changing 3D Environments",2024,CVPR,https://openaccess.thecvf.com/content/CVPR2024/html/Zhu_Living_Scenes_Multi-object_Relocalization_and_Reconstruction_in_Changing_3D_Environments_CVPR_2024_paper.html,pure method,5,5,5,A,"3RScan matching and reconstruction baseline","Strong component and end-to-end ablations"
"POCD: Probabilistic Object-Level Change Detection and Volumetric Mapping in Semi-Static Scenes",2022,RSS,https://www.roboticsproceedings.org/rss18/p013.html,method + benchmark,4,5,5,A,"Probabilistic object stationarity precedent","Public benchmark and reconstruction evaluation"
"Panoptic Multi-TSDFs: A Flexible Representation for Online Multi-resolution Volumetric Mapping and Long-term Dynamic Scene Consistency",2022,ICRA,https://arxiv.org/abs/2109.10165,pure method,4,5,4,A,"Object-level TSDF and long-term consistency precedent","Thorough online evaluation"
"ConceptGraphs: Open-Vocabulary 3D Scene Graphs for Perception and Planning",2024,ICRA,https://arxiv.org/abs/2309.16650,pure method,4,5,4,A,"Open-vocabulary object association baseline","Broad task evidence but primarily static map construction"
"EM-Fusion: Dynamic Object-Level SLAM With Probabilistic Data Association",2019,ICCV,https://openaccess.thecvf.com/content_ICCV_2019/html/Strecke_EM-Fusion_Dynamic_Object-Level_SLAM_With_Probabilistic_Data_Association_ICCV_2019_paper.html,pure method,4,5,5,B,"Historical object association anchor","Strong dynamic reconstruction evaluation"
